['locking_frame_label', 'Pose']
['locking_frame_label', 'Scoo B Doo']
['locking_frame_label', 'Scoobot']
['locking_frame_label', 'Skeeter Rabbit']
['locking_frame_label', 'Split']
['locking_frame_label', 'Strong man']
['locking_frame_label', 'Toe Tap']
['locking_frame_label', 'Twirl']
['locking_frame_label', 'Uncle Sams Points']
['locking_frame_label', 'Watergate']
['popping', 'Arm pop']
['popping', 'Boogaloo']
['popping', 'Chest pop']
['popping', 'Leg pop']
['popping_frame_label', 'Animation']
['popping_frame_label', 'Arm Wave']
['popping_frame_label', 'Arm pop']
['popping_frame_label', 'Body Direction Shift']
['popping_frame_label', 'Body Wave']
['popping_frame_label', 'Boogaloo']
['popping_frame_label', 'Chest Pop']
['popping_frame_label', 'Dime Stop']
['popping_frame_label', 'Direction Shift']
['popping_frame_label', 'Double Strut']
['popping_frame_label', 'Full body pop']
['popping_frame_label', 'Glide Shift']
['popping_frame_label', 'Gliding']
['popping_frame_label', 'Glitch']
['popping_frame_label', 'Head pop']
['popping_frame_label', 'Leg Wave']
['popping_frame_label', 'Leg pop']
['popping_frame_label', 'Reverb']
['popping_frame_label', 'Robot']
['popping_frame_label', 'Scarecrow']
['popping_frame_label', 'Strobing']
['popping_frame_label', 'Strutting']
['popping_frame_label', 'Ticking']
['popping_frame_label', 'Tutting']
['random', 'Bruh what']
['random', 'End of Movement']
['random', 'Intro Windup']
['random', 'Random']
['tap', 'Shuffle']
['tap', 'Shuffle Ball Change']
['tap', 'Shuffle Step']
['tap_frame_label', 'Brush']
['tap_frame_label', 'Heel']
['tap_frame_label', 'Heel Toe Heel']
['tap_frame_label', 'Shuffle']
['tap_frame_label', 'Shuffle Ball Change']
['tap_frame_label', 'Shuffle Step']
['tap_frame_label', 'Toe']
['tap_frame_label', 'Toe Heel Toe']
['tap_frame_label', 'Toe Toe Heel Heel']
